timestamp,participantId,amount,id
2023-05-01 00:00:00,19,-4.0,1713
2023-05-01 00:00:00,25,-4.0,1540
2023-05-01 00:00:00,61,-4.0,1394
2023-05-01 00:00:00,69,-4.0,1538
2023-05-01 00:00:00,78,-4.0,897
2023-05-01 00:00:00,82,-4.0,1713
2023-05-01 00:00:00,133,-4.0,1409
2023-05-01 00:00:00,151,-4.0,597
2023-05-01 00:00:00,155,-4.0,51
2023-05-01 00:00:00,164,-4.0,1344
2023-05-01 00:00:00,176,-4.0,1380
2023-05-01 00:00:00,191,-4.0,1344
2023-05-01 00:00:00,253,-4.0,1805
2023-05-01 00:00:00,276,-4.0,1661
2023-05-01 00:00:00,308,-4.0,896
2023-05-01 00:00:00,321,-4.0,1661
2023-05-01 00:00:00,340,-4.0,444
2023-05-01 00:00:00,361,-4.0,1344
2023-05-01 00:00:00,362,-4.0,870
2023-05-01 00:00:00,371,-4.0,1363
2023-05-01 00:00:00,376,-4.0,1419
2023-05-01 00:00:00,386,-4.0,449
2023-05-01 00:00:00,395,-4.0,175
2023-05-01 00:00:00,400,-4.0,893
2023-05-01 00:00:00,408,-4.0,1435
2023-05-01 00:00:00,413,-4.0,1514
2023-05-01 00:00:00,414,-4.0,1186
2023-05-01 00:00:00,431,-4.0,351
2023-05-01 00:00:00,438,-4.0,442
2023-05-01 00:00:00,468,-4.0,1343
2023-05-01 00:00:00,475,-4.0,1230
2023-05-01 00:00:00,493,-4.0,1344
2023-05-01 00:00:00,521,-4.0,13
2023-05-01 00:00:00,531,-4.0,896
2023-05-01 00:00:00,544,-4.0,1343
2023-05-01 00:00:00,547,-4.0,1047
2023-05-01 00:00:00,549,-4.0,443
2023-05-01 00:00:00,556,-4.0,432
2023-05-01 00:00:00,563,-4.0,688
2023-05-01 00:00:00,571,-4.0,1609
2023-05-01 00:00:00,607,-4.0,486
2023-05-01 00:00:00,612,-4.0,688
2023-05-01 00:00:00,624,-4.0,1343
2023-05-01 00:00:00,688,-4.0,1459
2023-05-01 00:00:00,689,-4.0,1044
2023-05-01 00:00:00,695,-4.0,-1
2023-05-01 00:00:00,698,-4.0,893
2023-05-01 00:00:00,701,-4.0,1537
2023-05-01 00:00:00,718,-4.0,-1
2023-05-01 00:00:00,720,-4.0,1203
2023-05-01 00:00:00,729,-4.0,1634
2023-05-01 00:00:00,746,-4.0,-1
2023-05-01 00:00:00,755,-4.0,51
2023-05-01 00:00:00,770,-4.0,1703
2023-05-01 00:00:00,772,-4.0,1245
2023-05-01 00:00:00,776,-4.0,-1
2023-05-01 00:00:00,777,-4.0,-1
2023-05-01 00:00:00,809,-4.0,1344
2023-05-01 00:00:00,826,-4.0,620
2023-05-01 00:00:00,838,-4.0,-1
2023-05-01 00:00:00,891,-4.0,152
2023-05-01 00:00:00,893,-4.0,1609
2023-05-01 00:00:00,908,-4.0,-1
2023-05-01 00:00:00,942,-4.0,1038
