participantId,jobId,financialStatus,availableBalance,extraBudget,wage,avgDailyWorkTime
0,254.0,Stable,56126.55446910701,27764.8669064074,9048.160061341467,7.83
1,929.0,Stable,47170.43338950338,11643.533950468336,7951.050057128824,7.92
2,348.0,Stable,42086.66160958209,20751.14834079288,6968.40354636358,7.92
3,316.0,Stable,39598.00013852345,19479.84879059311,6735.093806118835,7.83
4,177.0,Stable,48821.5691766846,47790.506662684376,8732.094304028007,7.92
5,33.0,Stable,4090.159375149712,3467.187734467635,1760.0,7.92
6,89.0,Stable,2682.3106940554976,2076.3062599134123,1789.7094280721526,7.92
7,270.0,Stable,28334.527453563955,27301.491396561367,5912.295464032319,7.92
8,20.0,Stable,11219.868999795755,10021.722341249955,3507.962474089974,7.83
9,21.0,Stable,81358.35400927099,40337.52637774743,12613.460987547025,7.92
10,29.0,Stable,38506.57646158448,18965.074794736403,6502.9043649852465,7.83
11,625.0,Stable,37908.77015144677,9318.849957040306,6281.733777577632,7.87
12,1205.0,Stable,34661.35360559554,8515.887052338594,6279.758241154288,7.83
13,330.0,Stable,24221.43136317116,22906.313675036195,5414.627793912878,7.83
14,139.0,Stable,37555.70756283867,36400.27114189651,7019.765163398584,7.83
15,730.0,Stable,35854.76756793723,8812.787697979538,6199.0972896849335,7.92
16,297.0,Stable,61332.50428113234,30375.22735374432,9618.387508669317,7.92
17,603.0,Stable,116077.9558008435,57732.30025805942,17600.0,7.83
18,278.0,Stable,115409.47613928892,28688.95602442563,17600.0,7.83
19,206.0,Stable,54202.544997514735,26790.224596528435,8978.5642803639,7.84
20,342.0,Stable,33286.80508893956,16334.515332448898,5843.694875302979,7.83
21,301.0,Stable,4349.7543452063055,3637.61074898461,2095.2231874583536,7.83
22,102.0,Stable,10642.06983933218,9602.267665822588,3164.1667853011872,7.92
23,1037.0,Stable,25264.29761892566,12305.562959092616,4866.778320995394,7.83
24,57.0,Stable,49413.42150736018,24409.33192806244,7986.056924317144,7.92
25,159.0,Stable,32680.79485574732,16038.58317011524,5720.176885819946,7.83
26,194.0,Stable,28355.937093852222,13866.519992630008,5370.013510813595,7.83
27,585.0,Stable,35509.81390176675,8726.750875993235,6129.390195121263,7.83
28,1244.0,Stable,86915.8236011812,43155.21346090425,13566.22933055372,7.83
29,80.0,Stable,23944.06978082721,11654.577608875106,4473.6194806103895,7.83
30,619.0,Stable,2131.084418925231,1280.8011254295782,1855.613661086644,8.0
31,932.0,Stable,97419.62529239558,24189.65820463527,14772.465438267052,7.83
32,832.0,Stable,34377.404116988335,8441.726254737683,5966.22452675219,7.83
33,803.0,Stable,78265.7531273882,19404.266335696386,12029.550735864139,7.83
34,319.0,Stable,15501.17672051678,14447.815593697267,4042.563549472332,7.92
35,294.0,Stable,3027.1970577028824,2381.5876458142457,1923.5312752592013,7.92
36,212.0,Stable,95660.86001676157,47498.991303101255,14605.139311197969,7.92
37,367.0,Stable,33365.670533817385,16373.678200301129,5960.9707623264985,7.92
38,1022.0,Stable,26430.13325421668,6429.202742965934,4951.710674379474,7.83
39,171.0,Stable,17169.793631209624,16395.663833630206,3809.8561860478926,7.92
40,534.0,Stable,3910.9482146575738,3263.512976335317,2074.3191589527364,7.83
41,54.0,Stable,3695.454585800796,3010.5006948808027,1925.9445661909263,7.83
42,723.0,Stable,33198.6689661512,16264.039024625712,5758.735366587087,7.83
43,1019.0,Stable,73995.5743184426,36678.59352144636,11696.242948980367,7.83
44,,Unknown,,,0.0,-1.0
45,286.0,Stable,95159.93612712355,23635.07066974697,14347.265546825975,7.83
46,1228.0,Stable,31558.413222401367,7699.469803001029,5705.456219620922,7.83
47,222.0,Stable,28841.14936904468,14079.329830524455,5271.761264490242,7.92
48,66.0,Stable,26215.822005267368,12767.172827100829,5114.961474614813,7.92
49,1024.0,Stable,93644.93621420066,23256.22792755135,14275.555833117918,7.83
50,112.0,Stable,25764.99938895176,12499.934084568878,4829.528662618671,7.92
51,24.0,Stable,84789.00611183899,42035.89850892791,13220.13066304344,7.83
52,192.0,Stable,5806.8775683817885,4886.001424765732,2628.725965071011,7.92
